"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2021","81.20","82.25","82.25","81.25","0.13K","0.87%"
"01/05/2021","80.35","81.50","81.50","80.50","0.14K","-1.05%"
"01/06/2021","79.45","80.10","80.10","79.50","0.02K","-1.12%"
"01/07/2021","81.05","79.30","81.00","79.30","0.05K","2.01%"
"01/08/2021","84.30","82.75","84.00","82.75","0.03K","4.01%"
"01/11/2021","84.50","84.50","84.50","84.50","0.06K","0.24%"
"01/12/2021","86.50","86.50","86.50","86.50","0.09K","2.37%"
"01/13/2021","87.30","87.30","87.30","87.30","0.06K","0.92%"
"01/14/2021","87.25","87.25","87.25","87.25","0.01K","-0.06%"
"01/15/2021","87.40","87.40","87.40","87.40","0.03K","0.17%"
"01/18/2021","86.40","86.40","86.40","86.40","0.02K","-1.14%"
"01/19/2021","85.00","85.55","85.55","84.75","0.05K","-1.62%"
"01/20/2021","85.50","85.50","85.50","85.50","0.01K","0.59%"
"01/21/2021","85.50","85.50","85.50","85.50","","0.00%"
"01/22/2021","85.90","85.90","85.90","85.90","","0.47%"
"01/25/2021","85.95","85.90","85.90","85.90","0.01K","0.06%"
"01/26/2021","86.00","86.00","86.00","86.00","0.01K","0.06%"
"01/27/2021","86.20","86.25","86.25","86.25","0.02K","0.23%"
"01/28/2021","86.30","86.30","86.30","86.30","0.00K","0.12%"
"01/29/2021","86.20","86.20","86.20","86.20","","-0.12%"
"02/01/2021","85.65","89.25","89.25","88.00","0.08K","-0.64%"
"02/02/2021","85.00","85.30","85.30","85.00","0.16K","-0.76%"
"02/03/2021","83.75","85.10","85.10","83.50","0.09K","-1.47%"
"02/04/2021","84.40","84.25","84.25","84.25","0.03K","0.78%"
"02/05/2021","86.65","86.65","86.65","86.65","0.04K","2.67%"
"02/08/2021","87.50","87.50","87.50","87.50","0.00K","0.98%"
"02/09/2021","87.30","87.00","87.00","87.00","0.00K","-0.23%"
"02/10/2021","87.60","87.60","87.60","87.60","0.01K","0.34%"
"02/11/2021","87.40","87.40","87.40","87.40","0.13K","-0.23%"
"02/12/2021","87.45","87.45","87.45","87.45","0.00K","0.06%"
"02/15/2021","87.05","87.00","87.00","87.00","0.00K","-0.46%"
"02/16/2021","86.55","86.50","86.50","86.50","0.00K","-0.57%"
"02/17/2021","86.00","86.00","86.00","86.00","0.02K","-0.64%"
"02/18/2021","85.75","85.75","85.75","85.75","0.01K","-0.29%"
"02/19/2021","86.00","86.00","86.00","86.00","0.01K","0.29%"
"02/22/2021","85.75","85.75","85.75","85.75","0.00K","-0.29%"
"02/23/2021","85.50","85.50","85.50","85.50","0.01K","-0.29%"
"02/24/2021","85.50","85.50","85.50","85.50","0.01K","0.00%"
"02/25/2021","85.50","85.50","85.50","85.50","0.02K","0.00%"
"02/26/2021","85.10","85.10","85.10","85.10","0.03K","-0.47%"
"03/01/2021","85.60","84.50","86.00","84.50","0.05K","0.59%"
"03/02/2021","87.50","87.50","87.50","87.30","0.08K","2.22%"
"03/03/2021","87.95","88.00","88.00","88.00","0.00K","0.51%"
"03/04/2021","87.50","88.00","88.00","87.50","0.10K","-0.51%"
"03/05/2021","87.75","88.00","88.00","87.50","0.00K","0.29%"
"03/08/2021","88.00","87.50","88.00","87.50","0.00K","0.28%"
"03/09/2021","88.50","87.30","89.00","87.30","0.03K","0.57%"
"03/10/2021","89.00","89.00","89.00","89.00","0.01K","0.56%"
"03/11/2021","89.00","89.00","89.00","89.00","0.00K","0.00%"
"03/12/2021","90.00","90.00","90.00","90.00","0.03K","1.12%"
"03/15/2021","90.50","90.50","90.50","90.50","0.01K","0.56%"
"03/16/2021","90.50","90.50","90.50","90.50","0.03K","0.00%"
"03/17/2021","90.75","90.75","90.75","90.75","0.02K","0.28%"
"03/18/2021","91.00","91.00","91.00","91.00","0.00K","0.28%"
"03/19/2021","92.75","91.50","93.00","91.50","0.02K","1.92%"
"03/22/2021","94.00","94.00","94.00","94.00","0.01K","1.35%"
"03/23/2021","94.50","95.00","95.00","95.00","0.00K","0.53%"
"03/24/2021","94.50","94.50","94.50","94.50","0.01K","0.00%"
"03/25/2021","94.50","94.50","94.50","94.50","0.01K","0.00%"
"03/26/2021","93.95","93.95","93.95","93.95","0.00K","-0.58%"
"03/29/2021","93.00","95.25","95.25","93.25","0.09K","-1.01%"
"03/30/2021","93.85","94.00","94.00","93.80","0.07K","0.91%"
"03/31/2021","96.25","95.75","96.25","95.75","0.05K","2.56%"
"04/01/2021","96.50","97.00","97.25","96.95","0.07K","0.26%"
"04/05/2021","96.50","96.50","96.50","96.50","","0.00%"
"04/06/2021","94.85","94.85","94.85","94.85","0.08K","-1.71%"
"04/07/2021","94.70","94.60","94.60","94.60","0.08K","-0.16%"
"04/08/2021","93.80","94.00","94.00","94.00","0.09K","-0.95%"
"04/09/2021","93.10","93.50","93.50","93.00","0.15K","-0.75%"
"04/12/2021","93.30","93.30","93.30","93.30","0.04K","0.21%"
"04/13/2021","93.45","93.50","93.50","93.50","0.09K","0.16%"
"04/14/2021","93.40","93.40","93.40","93.40","0.00K","-0.05%"
"04/15/2021","93.50","93.50","93.50","93.50","0.01K","0.11%"
"04/16/2021","94.30","93.50","94.35","93.50","0.06K","0.86%"
"04/19/2021","94.35","94.35","94.35","94.35","0.02K","0.05%"
"04/20/2021","94.00","94.00","94.00","94.00","0.01K","-0.37%"
"04/21/2021","93.75","93.75","93.75","93.75","0.03K","-0.27%"
"04/22/2021","93.95","93.95","93.95","93.95","0.00K","0.21%"
"04/23/2021","93.00","93.00","93.00","93.00","0.00K","-1.01%"
"04/26/2021","93.10","93.10","93.10","93.10","0.01K","0.11%"
"04/27/2021","93.10","93.10","93.10","93.10","0.00K","0.00%"
"04/28/2021","92.90","92.90","92.90","92.90","0.00K","-0.21%"
"04/29/2021","92.90","92.90","92.90","92.90","0.01K","0.00%"
"04/30/2021","93.30","93.30","93.30","93.30","0.01K","0.43%"
"05/03/2021","92.80","92.80","92.80","92.80","","-0.54%"
"05/04/2021","93.00","93.00","93.00","93.00","0.02K","0.22%"
"05/05/2021","93.80","93.80","93.80","93.80","0.03K","0.86%"
"05/06/2021","96.05","95.15","95.25","95.15","0.00K","2.40%"
"05/07/2021","96.15","96.15","96.15","96.15","0.01K","0.10%"
"05/10/2021","97.60","97.40","97.65","97.40","0.01K","1.51%"
"05/11/2021","98.70","98.70","98.70","98.70","0.02K","1.13%"
"05/12/2021","100.00","100.00","100.00","100.00","0.03K","1.32%"
"05/13/2021","101.00","101.00","101.00","101.00","0.02K","1.00%"
"05/14/2021","99.00","99.00","99.00","99.00","0.00K","-1.98%"
"05/17/2021","98.35","98.35","98.35","98.35","0.02K","-0.66%"
"05/18/2021","99.10","99.50","99.50","99.20","0.02K","0.76%"
"05/19/2021","99.10","99.10","99.10","99.10","0.01K","0.00%"
"05/20/2021","99.75","99.75","99.75","99.75","0.02K","0.66%"
"05/21/2021","101.00","101.00","101.00","101.00","0.01K","1.25%"
"05/24/2021","103.25","101.00","103.00","101.00","0.01K","2.23%"
"05/25/2021","105.00","105.00","105.00","105.00","0.01K","1.69%"
"05/26/2021","105.10","105.00","105.00","105.00","0.00K","0.10%"
"05/27/2021","105.50","105.50","105.50","105.50","0.00K","0.38%"
"05/28/2021","106.00","106.00","106.00","106.00","0.01K","0.47%"
"05/31/2021","118.90","118.90","118.90","118.90","","12.17%"
"06/01/2021","120.50","119.00","119.00","119.00","0.00K","1.35%"
"06/02/2021","119.95","121.25","121.25","120.00","0.01K","-0.46%"
"06/03/2021","119.00","119.00","119.00","119.00","0.01K","-0.79%"
"06/04/2021","119.75","119.00","119.00","119.00","0.01K","0.63%"
"06/07/2021","121.60","121.60","121.60","121.60","0.00K","1.54%"
"06/08/2021","122.75","122.75","122.75","122.75","0.02K","0.95%"
"06/09/2021","123.70","123.70","123.70","123.70","0.01K","0.77%"
"06/10/2021","126.00","126.00","126.00","126.00","0.01K","1.86%"
"06/11/2021","127.00","127.00","127.00","127.00","0.01K","0.79%"
"06/14/2021","125.55","125.55","125.55","125.55","0.01K","-1.14%"
"06/15/2021","125.00","125.00","125.00","125.00","","-0.44%"
"06/16/2021","125.25","125.25","125.25","125.25","0.01K","0.20%"
"06/17/2021","126.00","126.00","126.00","126.00","0.01K","0.60%"
"06/18/2021","125.00","125.00","125.00","125.00","0.00K","-0.79%"
"06/21/2021","125.50","125.50","125.50","125.50","0.01K","0.40%"
"06/22/2021","127.25","127.25","127.25","127.25","0.00K","1.39%"
"06/23/2021","127.50","127.50","127.50","127.50","0.01K","0.20%"
"06/24/2021","127.50","127.50","127.50","127.50","0.02K","0.00%"
"06/25/2021","127.70","127.70","127.70","127.70","0.03K","0.16%"
"06/28/2021","128.55","130.50","130.50","128.50","0.23K","0.67%"
"06/29/2021","131.00","130.45","130.45","130.45","0.03K","1.91%"
"06/30/2021","134.70","132.50","132.50","132.50","0.07K","2.82%"
"07/01/2021","137.75","137.75","137.75","137.75","0.04K","2.26%"
"07/02/2021","139.25","139.25","139.25","139.25","0.00K","1.09%"
"07/05/2021","143.40","142.50","142.75","142.50","0.02K","2.98%"
"07/06/2021","140.75","140.75","140.75","140.75","0.06K","-1.85%"
"07/07/2021","139.55","140.00","140.00","140.00","0.05K","-0.85%"
"07/08/2021","142.25","142.00","143.00","142.00","0.11K","1.93%"
"07/09/2021","143.00","143.00","143.00","143.00","0.02K","0.53%"
"07/12/2021","142.25","142.25","142.25","142.25","0.02K","-0.52%"
"07/13/2021","144.60","144.60","144.60","144.60","0.01K","1.65%"
"07/14/2021","144.50","144.50","144.50","144.50","0.01K","-0.07%"
"07/15/2021","146.00","146.00","146.00","146.00","0.04K","1.04%"
"07/16/2021","148.10","148.10","148.10","148.10","0.01K","1.44%"
"07/19/2021","150.00","148.75","150.00","148.75","0.07K","1.28%"
"07/20/2021","149.70","150.00","150.00","150.00","0.02K","-0.20%"
"07/21/2021","149.75","149.75","149.75","149.75","","0.03%"
"07/22/2021","149.75","149.75","149.75","149.75","","0.00%"
"07/23/2021","149.75","149.75","149.75","149.75","","0.00%"
"07/26/2021","149.75","149.75","149.75","149.75","","0.00%"
"07/27/2021","149.75","149.75","149.75","149.75","","0.00%"
"07/28/2021","150.10","150.10","150.10","150.10","","0.23%"
"07/29/2021","150.00","150.00","150.00","150.00","","-0.07%"
"07/30/2021","149.75","149.75","149.75","149.75","","-0.17%"
"08/02/2021","152.55","152.75","152.75","152.75","0.08K","1.87%"
"08/03/2021","152.75","152.25","153.00","152.25","0.23K","0.13%"
"08/04/2021","154.40","152.85","154.00","152.85","0.10K","1.08%"
"08/05/2021","157.25","156.50","156.50","155.00","0.04K","1.85%"
"08/06/2021","160.95","160.00","160.95","160.00","0.01K","2.35%"
"08/09/2021","167.05","165.00","167.00","165.00","0.10K","3.79%"
"08/10/2021","167.10","167.10","167.10","167.10","","0.03%"
"08/11/2021","169.40","169.00","169.00","168.50","0.01K","1.38%"
"08/12/2021","171.25","171.25","171.25","171.25","","1.09%"
"08/13/2021","172.75","172.25","172.25","172.25","0.00K","0.88%"
"08/16/2021","173.40","173.40","173.40","173.40","0.02K","0.38%"
"08/17/2021","171.45","172.25","172.25","172.00","0.05K","-1.12%"
"08/18/2021","171.00","171.00","171.00","171.00","","-0.26%"
"08/19/2021","170.90","170.90","170.90","170.90","","-0.06%"
"08/20/2021","167.75","167.75","167.75","167.75","","-1.84%"
"08/23/2021","170.00","170.00","170.00","170.00","","1.34%"
"08/24/2021","170.00","170.00","170.00","170.00","","0.00%"
"08/25/2021","170.75","170.75","170.75","170.75","","0.44%"
"08/26/2021","171.00","171.00","171.00","171.00","","0.15%"
"08/27/2021","170.95","170.95","170.95","170.95","","-0.03%"
"08/30/2021","171.35","171.35","171.35","171.35","","0.23%"
"08/31/2021","174.25","172.00","172.00","172.00","0.00K","1.69%"
"09/01/2021","174.60","174.60","174.60","174.60","0.04K","0.20%"
"09/02/2021","177.50","177.50","177.50","177.50","","1.66%"
"09/03/2021","179.00","179.00","179.00","179.00","","0.85%"
"09/06/2021","178.00","178.00","178.00","178.00","","-0.56%"
"09/07/2021","177.20","177.20","177.20","177.20","","-0.45%"
"09/08/2021","177.35","177.35","177.35","177.35","","0.08%"
"09/09/2021","177.50","177.50","177.50","177.50","","0.08%"
"09/10/2021","177.60","177.60","177.60","177.60","","0.06%"
